"Function Name",Count
get_comment_author_url,18
load_template,18
get_rest_url,18
sanitize_hex_color,18
get_network_option,18
get_category_link,18
_get_meta_table,18
get_adjacent_post,18
sanitize_bookmark_field,18
wp_rand,18
wp_convert_hr_to_bytes,18
single_term_title,18
add_editor_style,18
the_posts_pagination,18
comment_form,18
twentyfourteen_post_thumbnail,18
twentyfourteen_categorized_blog,18
zues_get_attr,18
session_set,18
runLocally,18
download,18
yourls_create_nonce,18
yourls_remove_filter,18
yourls_link,18
sqlsrv_field_metadata,18
sqlsrv_fetch_array,18
oci_parse,18
oci_execute,18
wc_get_order_status_name,18
wc_get_order_notes,18
wc_update_product_stock,18
wc_format_localized_decimal,18
wc_format_postcode,18
wc_rest_should_load_namespace,18
as_has_scheduled_action,18
wc_get_product_visibility_term_ids,18
wc_remove_number_precision_deep,18
wc_admin_connect_page,18
wp_parse_list,18
ray,18
is_wp_version_compatible,18
esc_xml,18
is_utf8,18
fs_copy_dir,18
U_value,18
DirFilesR,18
ob,18
wsoPerms,18
adds,18
deprecationWarning,18
remote_process,18
deep_copy,18
phutil_utf8ize,18
phutil_escape_html,18
set_current_screen,17
wp_print_scripts,17
is_child_theme,17
is_serialized,17
clean_user_cache,17
wp_trim_words,17
sanitize_title_with_dashes,17
paginate_links,17
url_to_postid,17
apache_get_modules,17
wp_get_current_commenter,17
get_page_template_slug,17
_wp_http_get_object,17
force_ssl_admin,17
is_embed,17
wp_admin_css_color,17
the_post_navigation,17
the_tags,17
yourls_redirect,17
yourls_debug_log,17
mssql_fetch_assoc,17
wc_ship_to_billing_address_only,17
switch_to_locale,17
wp_get_upload_dir,17
wc_load_webhooks,17
wc_get_customer_default_location,17
is_product_taxonomy,17
is_cart,17
wp_getimagesize,17
get_session,17
tables_list,17
is_ajax,17
where_check,17
strLen,17
mysql_list_tables,17
mssql_field_name,17
mysql_db_query,17
ocierror,17
mysql_list_fields,17
wsoPermsColor,17
html_header,17
html_footer,17
File_Write,17
namespaceSplit,17
is_mocked,17
return_mocked_value,17
stream_with_contents,17
done,17
isBase64Encoded,17
asset,16
is_blog_installed,16
get_plugin_page_hook,16
get_pages,16
email_exists,16
wp_get_nav_menus,16
comment_class,16
set_post_format,16
get_page_uri,16
get_magic_quotes_runtime,16
wp_allowed_protocols,16
sanitize_option,16
remove_meta_box,16
sanitize_post,16
sanitize_file_name,16
safecss_filter_attr,16
clean_comment_cache,16
current_action,16
get_raw_theme_root,16
get_the_post_thumbnail,16
add_comment_meta,16
get_avatar_url,16
add_image_size,16
get_stylesheet_uri,16
twentyfourteen_posted_on,16
sapi_windows_cp_get,16
_stringify_attributes,16
mssql_free_result,16
mcrypt_module_close,16
wc_get_attribute,16
wc_enqueue_js,16
wc_get_product_object,16
wc_let_to_num,16
wc_format_content,16
wc_remove_number_precision,16
render_block,16
wc_nocache_headers,16
get_block_templates,16
dd,16
rest_get_route_for_post_type_items,16
read,16
generateSessionToken,16
gs,16
compress,16
lrtrim,16
DxImg,16
tbfoot,16
a,16
base_configuration_dir,16
generate_random_name,16
removeUnnecessaryFieldsFromRequest,16
convertDockerRunToCompose,16
"Symfony\Component\Translation\t",16
get_default_post_to_edit,15
wp_get_post_autosave,15
display_header,15
is_blog_admin,15
wp_setup_nav_menu_item,15
get_super_admins,15
get_object_term_cache,15
get_core_updates,15
get_metadata_by_mid,15
wp_tempnam,15
get_post_time,15
get_file_data,15
wp_clean_themes_cache,15
get_shortcode_regex,15
wp_get_video_extensions,15
user_admin_url,15
wp_delete_user,15
wp_sprintf,15
get_allowed_mime_types,15
wp_check_invalid_utf8,15
get_post_custom,15
map_deep,15
wp_kses_bad_protocol,15
edit_comment_link,15
iso8601_to_datetime,15
load_theme_textdomain,15
previous_comments_link,15
next_comments_link,15
register_nav_menus,15
login_header,15
before,15
craft,15
localhost,15
yourls_esc_attr,15
yourls_esc_html,15
sqlsrv_connect,15
odbc_field_name,15
rest_do_request,15
wc_is_valid_url,15
wc_delete_product_transients,15
wc_get_price_to_display,15
wc_get_price_thousand_separator,15
wc_get_price_including_tax,15
wp_unique_prefixed_id,15
dataset,15
wp_get_user_request,15
shorten_utf8,15
pagination,15
ociparse,15
oci_connect,15
getrowbg,15
wsoWhich,15
wsoBruteForce,15
html_img,15
do_passreturn,15
myexe,15
magicboom,15
CreateTools,15
decode,15
DxMySQLQ,15
get_all_files,15
format_bit,15
nhx,15
theme_path,15
printStep1Template,15
phutil_format_relative_time,15
bar,14
wp_registration_url,14
wp_lostpassword_url,14
win_is_writable,14
do_settings_sections,14
is_registered_sidebar,14
wp_set_sidebars_widgets,14
wp_get_post_revision,14
get_plugin_page_hookname,14
wp_defer_comment_counting,14
_wp_post_revision_fields,14
wp_get_available_translations,14
wp_dropdown_roles,14
wp_handle_upload,14
wp_checkdate,14
wp_filter_post_kses,14
add_magic_quotes,14
wp_unique_filename,14
wp_remote_retrieve_header,14
is_network_only_plugin,14
get_term_field,14
add_clean_index,14
deslash,14
get_bookmark,14
stripslashes_deep,14
has_shortcode,14
format_to_edit,14
wp_get_audio_extensions,14
allow_subdirectory_install,14
wp_constrain_dimensions,14
wp_max_upload_size,14
get_post_format_strings,14
urlencode_deep,14
_wp_specialchars,14
the_excerpt_rss,14
wp_kses_no_null,14
wp_is_post_revision,14
get_date_from_gmt,14
rest_get_url_prefix,14
wp_suspend_cache_addition,14
_deprecated_constructor,14
plugin_dir_path,14
twentysixteen_get_color_scheme,14
header_image,14
twentyfourteen_paging_nav,14
install_raise_error,14
ispmanagerRequest,14
link_to_route,14
yourls_add_new_link,14
oci_num_rows,14
apcu_delete,14
wc_get_template_part,14
wc_get_product_ids_on_sale,14
wc_get_webhook_statuses,14
wc_attribute_taxonomy_name_by_id,14
wc_customer_bought_product,14
do_blocks,14
determine_locale,14
wp_date,14
wp_doing_cron,14
wp_get_environment_type,14
wp_unique_id,14
is_gd_image,14
wp_scripts_get_suffix,14
skip,14
php_binary,14
checkToken,14
where,14
format_time,14
information_schema,14
strips,14
fs_rmobj,14
wdll_cmdf,14
ocirowcount,14
echoQueryResult,14
spath,14
re,14
subeval,14
hardRecursiveGlob,14
EC,14
is_bread_translatable,14
getCurrentApplicationContainerStatus,14
generateLabelsApplication,14
validateIncomingRequest,14
exec_manual,14
phutil_console_wrap,14
phutil_format_relative_time_detailed,14
wp_guess_url,13
wp_register_plugin_realpath,13
wp_trash_comment,13
wp_get_installed_translations,13
get_edit_term_link,13
get_user_count,13
fetch_feed,13
wp_version_check,13
wp_update_plugins,13
wp_prepare_attachment_for_js,13
wp_filter_object_list,13
user_can_richedit,13
has_excerpt,13
wp_is_stream,13
wp_logout_url,13
get_month_link,13
rewind_posts,13
term_description,13
wp_insert_comment,13
translate_with_gettext_context,13
login_footer,13
plugin_dir_url,13
set_post_thumbnail_size,13
zues_attr,13
session_exists,13
yourls_is_valid_user,13
yourls_include_file_sandbox,13
yourls_sanitize_url_safe,13
sqlsrv_num_fields,13
apcu_store,13
apc_fetch,13
wc_orders_count,13
wc_get_credit_card_type_label,13
wc_get_coupon_id_by_code,13
wc_add_order_item_meta,13
wc_get_account_endpoint_url,13
wc_attribute_taxonomy_slug,13
